HomeSegment,Variable_Name,Unique_Values,Count,AvgDV,total_count,percentage
Luxury,Property_Type,D,7717,704253.0619,50494,0.152830039
Luxury,Property_Type,F,19363,400756.9139,50494,0.383471304
Luxury,Property_Type,T,12247,522930.7305,50494,0.242543669
Luxury,Property_Type,S,9020,551308.2433,50494,0.178635085
Luxury,Property_Type,O,2147,523214.6283,50494,0.042519903
Affordable,Property_Type,F,11705,179453.8724,84343,0.138778559
Affordable,Property_Type,T,28461,224110.2286,84343,0.337443534
Affordable,Property_Type,S,24436,266744.4813,84343,0.289721732
Affordable,Property_Type,D,16350,414287.0092,84343,0.193851298
Affordable,Property_Type,O,3391,371002.1132,84343,0.040204878
Mid_Range,Property_Type,S,41072,268645.2557,138303,0.296971143
Mid_Range,Property_Type,D,29825,457602.0429,138303,0.215649697
Mid_Range,Property_Type,F,15915,185854.7617,138303,0.115073426
Mid_Range,Property_Type,T,44807,209826.8346,138303,0.323977065
Mid_Range,Property_Type,O,6684,369762.3511,138303,0.04832867
Luxury,New_Property,N,50088,508902.7375,50494,0.991959441
Luxury,New_Property,Y,406,505250.0148,50494,0.008040559
Affordable,New_Property,N,83623,272429.885,84343,0.991463429
Affordable,New_Property,Y,720,343518.6556,84343,0.008536571
Mid_Range,New_Property,N,137500,285493.1766,138303,0.994193908
Mid_Range,New_Property,Y,803,320732.4433,138303,0.005806092
Luxury,Duration_Relates_to_the_tenure,F,29283,587697.6328,50494,0.579930289
Luxury,Duration_Relates_to_the_tenure,L,21211,400051.956,50494,0.420069711
Affordable,Duration_Relates_to_the_tenure,L,16883,182905.8193,84343,0.200170731
Affordable,Duration_Relates_to_the_tenure,F,67460,295593.5185,84343,0.799829269
Mid_Range,Duration_Relates_to_the_tenure,F,113524,305629.6828,138303,0.820835412
Mid_Range,Duration_Relates_to_the_tenure,L,24779,194380.5571,138303,0.179164588
Luxury,MonthYear,Jul-23,1451,542197.9841,50494,0.028736087
Luxury,MonthYear,Jun-23,7374,520213.2917,50494,0.146037153
Luxury,MonthYear,Feb-23,8810,496316.941,50494,0.174476175
Luxury,MonthYear,May-23,7008,509868.0335,50494,0.138788767
Luxury,MonthYear,Jan-23,9660,511425.848,50494,0.191309859
Luxury,MonthYear,Mar-23,9520,501718.4039,50494,0.188537252
Luxury,MonthYear,Apr-23,6671,511142.1686,50494,0.132114707
Affordable,MonthYear,Mar-23,16215,270003.2665,84343,0.192250691
Affordable,MonthYear,Jun-23,12057,274137.2914,84343,0.142951994
Affordable,MonthYear,Jan-23,15742,278991.211,84343,0.186642638
Affordable,MonthYear,May-23,12133,271040.9443,84343,0.143853076
Affordable,MonthYear,Jul-23,2132,277484.5755,84343,0.025277735
Affordable,MonthYear,Feb-23,15024,273111.3797,84343,0.17812978
Affordable,MonthYear,Apr-23,11040,269032.5644,84343,0.130894087
Mid_Range,MonthYear,Jul-23,3899,300707.9413,138303,0.028191724
Mid_Range,MonthYear,May-23,19557,281959.9938,138303,0.141406911
Mid_Range,MonthYear,Jun-23,19925,287971.0815,138303,0.144067735
Mid_Range,MonthYear,Jan-23,25525,290684.9848,138303,0.184558542
Mid_Range,MonthYear,Mar-23,26304,282618.7871,138303,0.190191102
Mid_Range,MonthYear,Apr-23,18760,283474.9447,138303,0.135644201
Mid_Range,MonthYear,Feb-23,24333,284245.9007,138303,0.175939784
