Variable,Min,1st Percentile,5th Percentile,1st Quartile,Mean,Median,3rd Quartile,95th Percentile,99th Percentile,Max,Sum,MissingNas,Count
Price_T,84000.0,84000.0,84000.0,167000.0,323045.505832174,265000.0,415000.0,875000.0,875000.0,875000.0,88236649463.0,0,273140
InflationRate_T,7.3,7.3,7.3,7.8,8.37133521271143,8.8,8.9,9.2,9.2,9.2,2286546.5000000005,0,273140
NumResidents_Heath_VeryGood_T,80.0,80.0,80.0,119.0,156.9995013401483,150.0,188.0,267.0,267.0,267.0,42882843.796048105,0,273140
NumResidents_Heath_Good_T,67.0,67.0,67.0,90.0,109.25568783893289,106.0,125.0,166.0,166.0,166.0,29842098.576326128,0,273140
NumResidents_Heath_Fair_T,18.0,18.0,18.0,31.0,40.4103530585082,40.0,49.0,67.0,67.0,67.0,11037683.83440093,0,273140
NumResidents_Heath_Bad_T,3.0,3.0,3.0,7.0,12.243129677227746,11.0,16.0,26.0,26.0,26.0,3344088.4400379863,0,273140
NumResidents_Heath_VeryBad_T,0.0,0.0,0.0,1.0,3.4273844924119365,3.0,5.0,9.0,9.0,9.0,936155.8002573963,0,273140
Acctype_Detached_T,0.0,0.0,0.0,5.0,31.655550707473665,15.0,53.0,110.0,110.0,110.0,8646397.120239357,0,273140
Acctype_SemiDetached_T,2.0,2.0,2.0,15.0,40.9831665633903,35.0,62.0,105.0,105.0,105.0,11194142.115124427,0,273140
Acctype_Terraced_T,0.0,0.0,0.0,6.0,33.646054170593,25.0,54.0,101.0,101.0,101.0,9190083.23615577,0,273140
Acctype_Flats_T,0.0,0.0,0.0,0.0,20.040244783321292,6.0,29.0,96.0,96.0,96.0,5473792.460116378,0,273140
Acctype_SharedHouse_T,0.0,0.0,0.0,0.0,3.800979719943828,1.0,4.0,27.0,27.0,27.0,1038199.6007054572,0,273140
Acctype_Converted_T,0.0,0.0,0.0,0.0,0.8958130905544287,0.0,1.0,7.0,7.0,7.0,244682.38755403666,0,273140
Acctype_CommercialBuilding_T,0.0,0.0,0.0,0.0,0.9308366118996373,0.0,1.0,7.0,7.0,7.0,254248.71217426693,0,273140
Acctype_Caravan_T,0.0,0.0,0.0,0.0,0.10731086675148775,0.0,0.0,1.0,1.0,1.0,29310.890144501365,0,273140
HH_noVehicles_T,5.0,5.0,5.0,13.0,29.40087852132687,23.0,41.0,80.0,80.0,80.0,8030555.959315222,0,273140
HH_EQ1Vehicles_T,33.0,33.0,33.0,47.0,58.22696356483128,57.0,67.0,91.0,91.0,91.0,15904112.828098016,0,273140
