Factor,OriginalVariable,TreatedVariable
Accomodation Type,Acctype_Detached,Acctype_Detached_T
Accomodation Type,Acctype_SemiDetached,Acctype_SemiDetached_T
Accomodation Type,Acctype_Terraced,Acctype_Terraced_T
Accomodation Type,Acctype_Flats,Acctype_Flats_T
Accomodation Type,Acctype_SharedHouse,Acctype_SharedHouse_T
Accomodation Type,Acctype_Converted,Acctype_Converted_T
Accomodation Type,Acctype_CommercialBuilding,Acctype_CommercialBuilding_T
Accomodation Type,Acctype_Caravan,Acctype_Caravan_T
Room Rating,NumProperty_GE2RatingRooms,NumProperty_GE2RatingRooms_T
Room Rating,NumProperty_1RatingRooms,NumProperty_1RatingRooms_T
Room Rating,NumProperty_0RatingRooms,NumProperty_0RatingRooms_T
Room Rating,NumProperty_Minus1RatingRooms,NumProperty_Minus1RatingRooms_T
Room Rating,NumProperty_LEMinus2RatingRooms,NumProperty_LEMinus2RatingRooms_T
BedRoom Rating,NumProperty_GE2RatingBedRooms,NumProperty_GE2RatingBedRooms_T
BedRoom Rating,NumProperty_1RatingBedRooms,NumProperty_1RatingBedRooms_T
BedRoom Rating,NumProperty_0RatingBedRooms,NumProperty_0RatingBedRooms_T
BedRoom Rating,NumProperty_Minus1RatingBedRooms,NumProperty_Minus1RatingBedRooms_T
BedRoom Rating,NumProperty_LEMinus2RatingBedRooms,NumProperty_LEMinus2RatingBedRooms_T
Central Heating Set1,HH_noCentralHeating,HH_noCentralHeating_T
Central Heating Set1,HH_CentralHeating_GasOnly,HH_CentralHeating_GasOnly_T
Central Heating Set1,HH_CentralHeating_TankGasOnly,HH_CentralHeating_TankGasOnly_T
Central Heating Set1,HH_CentralHeating_ElectricOnly,HH_CentralHeating_ElectricOnly_T
Central Heating Set1,HH_CentralHeating_OilOnly,HH_CentralHeating_OilOnly_T
Central Heating Set1,HH_CentralHeating_WoodOnly,HH_CentralHeating_WoodOnly_T
Central Heating Set2,HH_CentralHeating_SoildFuelOnly,HH_CentralHeating_SoildFuelOnly_T
Central Heating Set2,HH_CentralHeating_RenewableOnly,HH_CentralHeating_RenewableOnly_T
Central Heating Set2,HH_CentralHeating_CommunalOnly,HH_CentralHeating_CommunalOnly_T
Central Heating Set2,HH_CentralHeating_Others,HH_CentralHeating_Others_T
Central Heating Set2,HH_CentralHeating_GT2types_NoRenew,HH_CentralHeating_GT2types_NoRenew_T
Central Heating Set2,HH_CentralHeating_GT2types_WithRenew,HH_CentralHeating_GT2types_WithRenew_T
Communal Buildings Set1,Num_NHS_GenHosp,Num_NHS_GenHosp_T
Communal Buildings Set1,Num_NHS_MentalHosp,Num_NHS_MentalHosp_T
Communal Buildings Set1,Num_NHS_OtherHosp,Num_NHS_OtherHosp_T
Communal Buildings Set1,Num_LocalAuthChildernHome,Num_LocalAuthChildernHome_T
Communal Buildings Set1,Num_LocalAuthCareHomeWithNursing,Num_LocalAuthCareHomeWithNursing_T
Communal Buildings Set1,Num_LocalAuthCareHomeWithOutNursing,Num_LocalAuthCareHomeWithOutNursing_T
Communal Buildings Set1,Num_SocialHostels,Num_SocialHostels_T
Communal Buildings Set2,Num_OtherCareHomeWithNursing,Num_OtherCareHomeWithNursing_T
Communal Buildings Set2,Num_OtherCareHomeWithOutNursing,Num_OtherCareHomeWithOutNursing_T
Communal Buildings Set2,Num_OtherChildrenHomeSecure,Num_OtherChildrenHomeSecure_T
Communal Buildings Set2,Num_OtherMentalHospSecure,Num_OtherMentalHospSecure_T
Communal Buildings Set2,Num_DefenceBuildings,Num_DefenceBuildings_T
Communal Buildings Set2,Num_PrisonServiceBuildings,Num_PrisonServiceBuildings_T
Communal Buildings Set2,Num_BailHostels,Num_BailHostels_T
Communal Buildings Set3,Num_DetentionCentres,Num_DetentionCentres_T
Communal Buildings Set3,Num_OtherEducationBuildings,Num_OtherEducationBuildings_T
Communal Buildings Set3,Num_OtherYouthHostels,Num_OtherYouthHostels_T
Communal Buildings Set3,Num_OtherHomelessHostels,Num_OtherHomelessHostels_T
Communal Buildings Set3,Num_HolidayAccomodations,Num_HolidayAccomodations_T
Communal Buildings Set3,Num_ReligiousBuildings,Num_ReligiousBuildings_T
Communal Buildings Set3,Num_StaffAccomodations,Num_StaffAccomodations_T
Industries Set1,Industries_Agri,Industries_Agri_T
Industries Set1,Industries_Mining,Industries_Mining_T
Industries Set1,Industries_Manufacturing,Industries_Manufacturing_T
Industries Set1,Industries_PowerStations,Industries_PowerStations_T
Industries Set1,Industries_WaterMgmt,Industries_WaterMgmt_T
Industries Set1,Industries_Construction,Industries_Construction_T
Industries Set1,Industries_Wholsale,Industries_Wholsale_T
Industries Set1,Industries_Transportation,Industries_Transportation_T
Industries Set1,Industries_Accomodations,Industries_Accomodations_T
Industries Set2,Industries_Communication,Industries_Communication_T
Industries Set2,Industries_FinancialInst,Industries_FinancialInst_T
