Variable,Min,1st Percentile,5th Percentile,1st Quartile,Mean,Median,3rd Quartile,95th Percentile,99th Percentile,Max,Sum,MissingNas,Count
Price,100,50000.0,84000.0,167000.0,369689.3289412023,265000.0,415000.0,875000.0,1850000.0,140000000,100976943307,0,273140
InflationRate,6.4,6.4,7.3,7.8,8.346681921359014,8.8,8.9,9.2,9.2,9.2,2279812.700000001,0,273140
NumResidents_Heath_VeryGood,6.0,55.0,80.0,119.0,158.68621828835006,150.0,188.0,267.0,336.0,2437.0,43278651.0,409,273140
NumResidents_Heath_Good,19.0,47.0,67.0,90.0,109.94239378728491,106.0,125.0,166.0,199.0,1696.0,29984699.0,409,273140
NumResidents_Heath_Fair,0.0,11.0,18.0,31.0,40.79200017599759,40.0,49.0,67.0,85.0,410.0,11125243.0,409,273140
NumResidents_Heath_Bad,0.0,0.0,3.0,7.0,12.514187972764372,11.0,16.0,26.0,36.0,169.0,3413007.0,409,273140
NumResidents_Heath_VeryBad,0.0,0.0,0.0,1.0,3.624534798024427,3.0,5.0,9.0,14.0,90.0,988523.0,409,273140
Acctype_Detached,0.0,0.0,0.0,5.0,32.57347716247878,15.0,53.0,110.0,139.0,348.0,8883797.0,409,273140
Acctype_SemiDetached,0.0,0.0,2.0,15.0,41.578218097686,34.0,62.0,105.0,125.0,259.0,11339669.0,409,273140
Acctype_Terraced,0.0,0.0,0.0,6.0,34.315706685341965,25.0,54.0,101.0,123.0,198.0,9358957.0,409,273140
Acctype_Flats,0.0,0.0,0.0,0.0,21.87047677015081,6.0,29.0,96.0,155.0,396.0,5964757.0,409,273140
Acctype_SharedHouse,0.0,0.0,0.0,0.0,4.9690427564156625,1.0,4.0,27.0,66.0,166.0,1355212.0,409,273140
Acctype_Converted,0.0,0.0,0.0,0.0,1.4630093388723688,0.0,1.0,7.0,24.0,204.0,399008.0,409,273140
Acctype_CommercialBuilding,0.0,0.0,0.0,0.0,1.4301564545284549,0.0,1.0,7.0,23.0,92.0,390048.0,409,273140
Acctype_Caravan,0.0,0.0,0.0,0.0,0.42130890877824667,0.0,0.0,1.0,9.0,191.0,114904.0,409,273140
HH_noVehicles,0.0,1.0,5.0,12.0,30.567240247716615,23.0,41.0,80.0,121.0,331.0,8336634.0,409,273140
HH_EQ1Vehicles,5.0,22.0,33.0,47.0,58.58272803605018,57.0,67.0,91.0,114.0,261.0,15977326.0,409,273140
HH_EQ2Vehicles,0.0,3.0,8.0,23.0,36.98404288474724,35.0,48.0,72.0,94.0,257.0,10086695.0,409,273140
HH_GE3Vehicles,0.0,0.0,1.0,5.0,12.491198286956745,10.0,17.0,31.0,44.0,112.0,3406737.0,409,273140
HH_noCentralHeating,0.0,0.0,0.0,0.0,2.097854662652944,1.0,3.0,7.0,11.0,46.0,572150.0,409,273140
HH_CentralHeating_GasOnly,0.0,6.0,16.0,91.0,102.58654865050178,106.0,119.0,157.0,192.0,492.0,27978532.0,409,273140
HH_CentralHeating_TankGasOnly,0.0,0.0,0.0,0.0,1.3039698457454414,0.0,1.0,5.0,20.0,150.0,355633.0,409,273140
HH_CentralHeating_ElectricOnly,0.0,0.0,0.0,3.0,12.855326310540423,5.0,13.0,53.0,100.0,368.0,3506046.0,409,273140
HH_CentralHeating_OilOnly,0.0,0.0,0.0,0.0,4.398491553948762,0.0,1.0,30.0,84.0,167.0,1199605.0,409,273140
HH_CentralHeating_WoodOnly,0.0,0.0,0.0,0.0,0.18185684795641127,0.0,0.0,1.0,4.0,39.0,49598.0,409,273140
HH_CentralHeating_SoildFuelOnly,0.0,0.0,0.0,0.0,0.26598369822279094,0.0,0.0,2.0,4.0,43.0,72542.0,409,273140
HH_CentralHeating_RenewableOnly,0.0,0.0,0.0,0.0,0.5341600331462136,0.0,0.0,3.0,8.0,67.0,145682.0,409,273140
HH_CentralHeating_CommunalOnly,0.0,0.0,0.0,0.0,0.958559899681371,0.0,0.0,3.0,23.0,162.0,261429.0,409,273140
